osgroup,osname,osversion,ip_ver,tcp_ttl,tcp_olen,tcp_mss,tcp_win,tcp_wscale,tcp_ipoptions,tcp_quirks,pclass
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
unix,Linux,3.12 and newer,*,60,0,*,mss*20,10,2-4-8-1-3,6,0
